evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B037-361,chillgen.com,wolf-galaxy-carpet-boy-room-decor-rug-4c471ed92f-4c471ed92f,15913366684017,80878719992177,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/2995d509cd839bac40f9b4d5e614300c863757024e8dfda5c643688435fae6f5.jpg?v=1784383303,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,purple dreamcatcher wolf rug beside sofa,,purple dreamcatcher wolf rug beside sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/wolf-galaxy-carpet-boy-room-decor-rug-4c471ed92f-4c471ed92f__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-362,chillgen.com,custom-bear-paw-print-area-rug-4e14d548d7-4e14d548d7,15913379201393,80878792704369,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/aa4ceb77d98bc30642f57cd001fd245ebe6f991574e7e0da9ae57a1fe3b59df3.jpg?v=1784378020,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,black floral bear shaped rug cutout,,black floral bear shaped rug cutout,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-bear-paw-print-area-rug-4e14d548d7-4e14d548d7__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-363,chillgen.com,custom-dog-paw-print-shaped-rug-39afbc78d5,15913379496305,80878794703217,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/d33aec5b61afb909ac0f1f580928a13bd0ad94a9fcd67ec45503efaa77c6d3fd.jpg?v=1784377982,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,patchwork paw shaped rug on light floor,,patchwork paw shaped rug on light floor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-dog-paw-print-shaped-rug-39afbc78d5__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-363,chillgen.com,custom-dog-paw-print-shaped-rug-39afbc78d5,15913379496305,80878794735985,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/591ad326ca56e2146255a82704352035b085a94cb19ef92eb351406c41ba50d2.jpg?v=1784377987,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,tartan paw rug on wood floor,,tartan paw rug on wood floor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-dog-paw-print-shaped-rug-39afbc78d5__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-363,chillgen.com,custom-dog-paw-print-shaped-rug-39afbc78d5,15913379496305,80878794768753,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/144a52132e76f3622af43958a84749bac7b290422462f8fdb4a67fd3dbb72571.jpg?v=1784377988,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,paw shaped rug in nursery room,,paw shaped rug in nursery room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-dog-paw-print-shaped-rug-39afbc78d5__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-363,chillgen.com,custom-dog-paw-print-shaped-rug-39afbc78d5,15913379496305,80878794801521,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/3844922a129bfdd34fb85f86f071a0f50663f4d9d4cc2ab76f6eecf3d2ca42e5.jpg?v=1784377992,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,paw rug layer construction panel,,paw rug layer construction panel,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-dog-paw-print-shaped-rug-39afbc78d5__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-363,chillgen.com,custom-dog-paw-print-shaped-rug-39afbc78d5,15913379496305,80878794834289,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/bc60bdddf88a758b3148d455e97a4b672850ddc1759173952243e1b2f71d3d40.jpg?v=1784377993,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,paw shaped rug size chart,,paw shaped rug size chart,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-dog-paw-print-shaped-rug-39afbc78d5__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-363,chillgen.com,custom-dog-paw-print-shaped-rug-39afbc78d5,15913379496305,80878794867057,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0d72f234aba151cc72c9e08eb2a1009514420a36180d339156683bca7ea5a4ed.jpg?v=1784377998,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,custom paw rug backing detail,,custom paw rug backing detail,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-dog-paw-print-shaped-rug-39afbc78d5__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-363,chillgen.com,custom-dog-paw-print-shaped-rug-39afbc78d5,15913379496305,80878794899825,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/affa299375e600d6f593fba55882dc1a7821f7623d000a80c6c2449a6ca1dc50.jpg?v=1784377999,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,patchwork paw rug cutout,,patchwork paw rug cutout,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-dog-paw-print-shaped-rug-39afbc78d5__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-364,chillgen.com,custom-bear-paw-print-area-rug-a5abc100ab,15913379823985,80878796112241,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ada44684b5f49fc3a42880b9b25ea5b9436c792b1d40a28322fc9bbb74f5d054.jpg?v=1784377964,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,blue daisy bear shaped rug on light floor,,blue daisy bear shaped rug on light floor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-bear-paw-print-area-rug-a5abc100ab__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-364,chillgen.com,custom-bear-paw-print-area-rug-a5abc100ab,15913379823985,80878796145009,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/4e25cc619b96d3f1c40a8ba754a23f748a5d9ada3287b3b3a82cf2441b6d691e.jpg?v=1784377964,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,blue bear rug on wood floor,,blue bear rug on wood floor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-bear-paw-print-area-rug-a5abc100ab__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-364,chillgen.com,custom-bear-paw-print-area-rug-a5abc100ab,15913379823985,80878796177777,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/339b3b1509c5822d4b4d564f197e1544f47ae2fb668c12dbd1c9496ecea2a0fd.jpg?v=1784377970,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,daisy bear rug in nursery room,,daisy bear rug in nursery room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-bear-paw-print-area-rug-a5abc100ab__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-364,chillgen.com,custom-bear-paw-print-area-rug-a5abc100ab,15913379823985,80878796210545,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a82c227ee51d5d9292daa6a8f5565c9007def874119d8992e0d8fe953dbc30b9.jpg?v=1784377970,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,bear rug layer construction detail,,bear rug layer construction detail,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-bear-paw-print-area-rug-a5abc100ab__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-364,chillgen.com,custom-bear-paw-print-area-rug-a5abc100ab,15913379823985,80878796243313,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/99966b19345c2002ab3be2d5315980be5e9147b9823c40e8a3f2fbb13fd7b8d8.jpg?v=1784377976,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,blue bear shaped rug size chart,,blue bear shaped rug size chart,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-bear-paw-print-area-rug-a5abc100ab__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-364,chillgen.com,custom-bear-paw-print-area-rug-a5abc100ab,15913379823985,80878796276081,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/5c32d56ed89b1e7fffee82a5ccb00269db61f5d2e59f8991e32705e997fa571b.jpg?v=1784377975,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,custom shape blue bear rug panel,,custom shape blue bear rug panel,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-bear-paw-print-area-rug-a5abc100ab__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-364,chillgen.com,custom-bear-paw-print-area-rug-a5abc100ab,15913379823985,80878796308849,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/348d055a4925035f034195d8605b182188ec2b024a372ecbe810ed7ce623c090.jpg?v=1784377981,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,blue daisy bear rug cutout,,blue daisy bear rug cutout,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-bear-paw-print-area-rug-a5abc100ab__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-365,chillgen.com,custom-bear-paw-print-area-rug-7ff5dd63e9,15913380151665,80878797685105,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/2f051d58bb44f847dab0bda1fef3ea0bdde395e6aeed3f08521ab5df88823829.jpg?v=1784377942,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,teal southwestern paw rug on light floor,,teal southwestern paw rug on light floor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-bear-paw-print-area-rug-7ff5dd63e9__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-365,chillgen.com,custom-bear-paw-print-area-rug-7ff5dd63e9,15913380151665,80878797717873,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/d88f886bf25e13d78d24ea3ea4f7297b295512d88c6e209500776c97f8fd1d43.jpg?v=1784377947,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,southwestern paw rug on wood floor,,southwestern paw rug on wood floor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-bear-paw-print-area-rug-7ff5dd63e9__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-365,chillgen.com,custom-bear-paw-print-area-rug-7ff5dd63e9,15913380151665,80878797750641,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c279447b39ea3b9ef0317680f826d1f2264e404f03cbae8ddd0a1db27927f6af.jpg?v=1784377947,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,teal paw rug in nursery room,,teal paw rug in nursery room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-bear-paw-print-area-rug-7ff5dd63e9__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-365,chillgen.com,custom-bear-paw-print-area-rug-7ff5dd63e9,15913380151665,80878797783409,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c48ed429209d74a34c10ff426c705a41d13c0d66f0ce50d7f42ea82136741878.jpg?v=1784377952,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,paw rug layer construction panel,,paw rug layer construction panel,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-bear-paw-print-area-rug-7ff5dd63e9__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-365,chillgen.com,custom-bear-paw-print-area-rug-7ff5dd63e9,15913380151665,80878797816177,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/099b45d43f52e5578798d0c2e9030a8f4eefd65d92231b7b1f2021fa22c5178b.jpg?v=1784377953,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,teal paw shaped rug size chart,,teal paw shaped rug size chart,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-bear-paw-print-area-rug-7ff5dd63e9__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-365,chillgen.com,custom-bear-paw-print-area-rug-7ff5dd63e9,15913380151665,80878797848945,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6930783ca6ade1be43d55d293c0b26665602747d7654ae00e800aeb4f9afbf47.jpg?v=1784377958,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,custom shape teal paw rug backing,,custom shape teal paw rug backing,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-bear-paw-print-area-rug-7ff5dd63e9__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
