evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B012-111,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-109,15969303363953,81244377481585,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/63491d43a1fc4ed8081696e2b5986dfe3939268d02ac4999c50643e058469784.jpg?v=1786646536,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,pastel teacher welcome rug in classroom mockup,,pastel teacher welcome rug in classroom mockup,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-109__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-112,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-110,15969303495025,81244380692849,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/95ebe7d0b9d2d9f8854136f695856c88b6ad95ec89de74f6637295b6f58514d7.jpg?v=1786646562,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,custom classroom welcome rug in home classroom scene,,custom classroom welcome rug in home classroom scene,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-110__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-112,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-110,15969303495025,81244380725617,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/488433184960665c85e954d61ee484b69308c449d6247465465c3ebf3fc30205.jpg?v=1786646561,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,teacher with students on school icons welcome rug,,teacher with students on school icons welcome rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-110__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-112,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-110,15969303495025,81244380758385,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c3637508d9451c6e8717c19fef2c88612d5413fa490dfc6fc8133fd20089650c.jpg?v=1786646561,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,large classroom mockup of school icons teacher rug,,large classroom mockup of school icons teacher rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-110__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-112,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-110,15969303495025,81244380791153,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/58c71749a3403f50e4c43a438eb2a1e90ee3173f8d22f6edafe326c7c59a8504.jpg?v=1786646561,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,teacher-name welcome rug beside desks,,teacher-name welcome rug beside desks,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-110__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-112,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-110,15969303495025,81244380823921,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/8c533e2f4fd56df27948721f540bc4131eafc94d91a898bd9955f2399d9d3217.jpg?v=1786646561,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,machine washable vacuum cleaner graphic for classroom rug,,machine washable vacuum cleaner graphic for classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-110__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-112,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-110,15969303495025,81244380856689,GALLERY_PUBLIC_CDN,9,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f645858320d8feda5f3f588fcb76405433833b011b25c14c3d5f07ab63e2dc82.jpg?v=1786646561,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,material and backing detail for school icons welcome rug,,material and backing detail for school icons welcome rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-110__img_09.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-113,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-111,15969303527793,81244381512049,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/5f37fa1f140ef1d25d56e1dd1a14baae1e40fe697282e36a6b07161ff3f3d8ad.jpg?v=1786646575,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,affirmation rainbow teacher rug in classroom,,affirmation rainbow teacher rug in classroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-111__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-113,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-111,15969303527793,81244381544817,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/d9029801827e9a8c6c6d24395c0fa7307775ee1593c740917eacaffe1367a654.jpg?v=1786646575,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,size chart for affirmation rainbow classroom rug,,size chart for affirmation rainbow classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-111__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-113,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-111,15969303527793,81244381577585,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/93d888841d57ce767b4a6d2734303f967789b41e7a6da47f0196bb3ec00156d5.jpg?v=1786646575,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,close angled view of rainbow teacher welcome rug,,close angled view of rainbow teacher welcome rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-111__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-113,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-111,15969303527793,81244381610353,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/29b8cee7d5d2b9d546d487ac1c455d32566b84cf3a0dc700c92f47f4cca26c84.jpg?v=1786646576,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,teacher-name rainbow rug beside desks,,teacher-name rainbow rug beside desks,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-111__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-113,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-111,15969303527793,81244381643121,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/acc4103865a00a77a2643283651abd00680b7dc633d5fe1657fbf85a1deb376b.jpg?v=1786646575,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,custom rainbow classroom rug in home classroom,,custom rainbow classroom rug in home classroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-111__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-113,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-111,15969303527793,81244381675889,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6c0c4168d35606f7283c26f3d41ec23ffaa3e1f24b1891418b279e81fe64b86e.jpg?v=1786646575,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,teacher with students on affirmation rainbow rug,,teacher with students on affirmation rainbow rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-111__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-113,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-111,15969303527793,81244381708657,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/3181eee606f7929313b3af97d8bde1c2775de40b6260516579fe875bd657504f.jpg?v=1786646575,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,large classroom mockup of affirmation rainbow rug,,large classroom mockup of affirmation rainbow rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-111__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-113,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-111,15969303527793,81244381741425,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f5867ac6a04c59ab039ed7de73ae8dcb32438af192edd7b30b40d78d451d7e16.jpg?v=1786646575,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,machine washable vacuum cleaner graphic for rainbow rug,,machine washable vacuum cleaner graphic for rainbow rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-111__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-113,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-111,15969303527793,81244381774193,GALLERY_PUBLIC_CDN,9,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/45129483f9e11a8a2609eb32411fa601870e2bfca36ba9a8036fe1083dce3c3c.jpg?v=1786646575,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,material and backing detail for affirmation teacher rug,,material and backing detail for affirmation teacher rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-111__img_09.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-114,chillgen.com,core-vocabulary-rug-communication-rugs-for-kids-sped-classroom-rug,15969319125361,81244490334577,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e890baba702ff09f7ce69b74fe69e93a670346f5d721cfa209a622a7ee050bc4.jpg?v=1786647296,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,core vocabulary communication rug with symbol-word grid,,core vocabulary communication rug with symbol-word grid,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/core-vocabulary-rug-communication-rugs-for-kids-sped-classroom-rug__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-114,chillgen.com,core-vocabulary-rug-communication-rugs-for-kids-sped-classroom-rug,15969319125361,81244490367345,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/df78a443e20bc31c8ac6259f39c6289baf275d980feba4115456b2ab2361a604.jpg?v=1786647296,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,communication board rug in colorful playroom,,communication board rug in colorful playroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/core-vocabulary-rug-communication-rugs-for-kids-sped-classroom-rug__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-114,chillgen.com,core-vocabulary-rug-communication-rugs-for-kids-sped-classroom-rug,15969319125361,81244490400113,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/2de588f3ddd8f8c7e29e159551d9c03a4878c114f71ccd37b30b979290100073.jpg?v=1786647296,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,overhead view of core vocabulary rug,,overhead view of core vocabulary rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/core-vocabulary-rug-communication-rugs-for-kids-sped-classroom-rug__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-114,chillgen.com,core-vocabulary-rug-communication-rugs-for-kids-sped-classroom-rug,15969319125361,81244490432881,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/295ba9c9497db3880b11ea968966748c5c756cbb03390ed6b650484efda4f70f.jpg?v=1786647296,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,core vocabulary rug in playroom scene,,core vocabulary rug in playroom scene,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/core-vocabulary-rug-communication-rugs-for-kids-sped-classroom-rug__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-114,chillgen.com,core-vocabulary-rug-communication-rugs-for-kids-sped-classroom-rug,15969319125361,81244490465649,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/77f645879d205125e4cd7dbdba99318508cf44c4eed59b520ec1401be36edf6b.jpg?v=1786647296,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,teacher reading with children on communication rug,,teacher reading with children on communication rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/core-vocabulary-rug-communication-rugs-for-kids-sped-classroom-rug__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-114,chillgen.com,core-vocabulary-rug-communication-rugs-for-kids-sped-classroom-rug,15969319125361,81244490498417,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/966146f216a5e8080427a50f80b44ea63cbae730818b123a35c450ec374cc22d.jpg?v=1786647296,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,children sitting on core vocabulary classroom rug,,children sitting on core vocabulary classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/core-vocabulary-rug-communication-rugs-for-kids-sped-classroom-rug__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
