evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B023-221,chillgen.com,custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9,15912097710449,80869974671729,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0553e05f91c327679dade962a6d3a8ba3d322ecb296506a457fb55dbc44dc1fe.jpg?v=1784371557,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,adventure town road map rug overhead view,,adventure town road map rug overhead view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-221,chillgen.com,custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9,15912097710449,80878920991089,GALLERY_PUBLIC_CDN,12,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0abedbecba493c27749ec70abebb5842507d00b2261debfd4fd09bc86bcaf3ff.jpg?v=1784370994,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,large green city play rug room view,,large green city play rug room view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9__img_12.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-221,chillgen.com,custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9,15912097710449,80878921023857,GALLERY_PUBLIC_CDN,13,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/446108dc388d1a237f7cdc4a5231fe15c7470720327fe84ec386e47f1474256f.jpg?v=1784370995,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,angled road map rug with pirate pond,,angled road map rug with pirate pond,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9__img_13.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-221,chillgen.com,custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9,15912097710449,80878921056625,GALLERY_PUBLIC_CDN,14,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0cf97869514123882c0e13ba0c81527300924e86aac61757e977ba870a7ce97b.jpg?v=1784371000,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,group play on road map rug,,group play on road map rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9__img_14.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-221,chillgen.com,custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9,15912097710449,80878921089393,GALLERY_PUBLIC_CDN,15,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/5a544245bab1a67500e50a75bfb83295533e6da09759d60c57a4e60ac62c1ada.jpg?v=1784371001,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,classroom aisle view of road map rug,,classroom aisle view of road map rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9__img_15.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-221,chillgen.com,custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9,15912097710449,80878921122161,GALLERY_PUBLIC_CDN,16,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/af21a2495722ac861d2d1e2fdca9deff5a3eda9132632b8619534700e748a3f6.jpg?v=1784371005,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,non-slip backing detail for road rug,,non-slip backing detail for road rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9__img_16.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-221,chillgen.com,custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9,15912097710449,80878921154929,GALLERY_PUBLIC_CDN,17,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7d2d843fbcbc680f71d0d3ca25e42a45762dc645d8e00ee3e8c1b157d13c0f1b.jpg?v=1784371006,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,washable care visual for kids road rug,,washable care visual for kids road rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9__img_17.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-221,chillgen.com,custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9,15912097710449,80878921187697,GALLERY_PUBLIC_CDN,18,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/2bdfc26b42b98d34b70544b32dc9297e41189a9196dc2cf3a7ce005d6dc0a781.jpg?v=1784371012,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,road map rug in bright playroom,,road map rug in bright playroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9__img_18.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-222,chillgen.com,custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7,15912097972593,80869976211825,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/326039e7645c1357196151b2161f1a65d1baeac85cf9ef6ede8ca2ab44b327c3.jpg?v=1784370301,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,construction city road map rug overhead view,,construction city road map rug overhead view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-222,chillgen.com,custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7,15912097972593,80869976277361,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/1d3dbd2113d12aba38b1882c3a69a90fb05b5e01f7b57aa61a2d4cfef81f5f5a.jpg?v=1784370301,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,size options for construction road rug,,size options for construction road rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-222,chillgen.com,custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7,15912097972593,80869976310129,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/77f4648763f1deee11e3958cf1b05643c8436abb997af8b59b8de20695c6c4c0.jpg?v=1784370307,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,construction city rug in classroom,,construction city rug in classroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-222,chillgen.com,custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7,15912097972593,80869976342897,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/261630ed863ad5395172e3771c3df89b28e6b151f7f12074524641aedc7ad315.jpg?v=1784370307,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,construction road rug in classroom aisle,,construction road rug in classroom aisle,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-222,chillgen.com,custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7,15912097972593,80869976375665,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/aac2dfc640418b7417b386ba463c50068485ccfa78ffa2baf08b00286378052a.jpg?v=1784370312,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,playroom view of truck road rug,,playroom view of truck road rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-222,chillgen.com,custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7,15912097972593,80869976408433,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/610ced9b8488ce68526c59834ce1b5d8f76c595011883533eec104a1da1b0142.jpg?v=1784370312,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,construction road map rug in bright room,,construction road map rug in bright room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-222,chillgen.com,custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7,15912097972593,80869976441201,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f42ea0eb5785805c0aedd4270374445a4d78632c036ef90adc0f53540159af3c.jpg?v=1784370318,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,machine washable visual for construction rug,,machine washable visual for construction rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-222,chillgen.com,custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7,15912097972593,80869976473969,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/20a7ecab815fe1a6c7fc2b274aed5cdc8ad5a318dc942198a6fdd77a44d2ecee.jpg?v=1784370317,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,material detail panel for truck road rug,,material detail panel for truck road rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-222,chillgen.com,custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7,15912097972593,80869976506737,GALLERY_PUBLIC_CDN,9,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e187acdd12675e53a16c80c4d5b1b640e666e46eec824764d0366bda9860e870.jpg?v=1784370323,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,children using construction city rug,,children using construction city rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7__img_09.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-222,chillgen.com,custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7,15912097972593,80878919287153,GALLERY_PUBLIC_CDN,10,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/eb41fa1b2ecba5560ecc303d975225884b63ae5d82083f38d5d1f1061c4d2412.jpg?v=1784370323,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,personalized construction road rug product view,,personalized construction road rug product view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7__img_10.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-222,chillgen.com,custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7,15912097972593,80878919319921,GALLERY_PUBLIC_CDN,11,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b8812b65c628462a3e26743d47215eb4bcae7a5440b494436962d98198c7dbd1.jpg?v=1784370328,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,size chart for truck play rug,,size chart for truck play rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7__img_11.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-222,chillgen.com,custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7,15912097972593,80878919352689,GALLERY_PUBLIC_CDN,12,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6922134fba6ea4f7ed9d777b07a07de06730fdf34da91efcf4a3099f77db21f4.jpg?v=1784370329,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,angled construction road rug,,angled construction road rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7__img_12.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-222,chillgen.com,custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7,15912097972593,80878919385457,GALLERY_PUBLIC_CDN,13,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ec16588a3989d86f4d056f4f85f63dce0088de2556cb084a04fdf82d0194b949.jpg?v=1784370334,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,large truck road rug in classroom,,large truck road rug in classroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-personalized-city-street-car-rug-6313a0fee7__img_13.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
