evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B021-201,chillgen.com,personalized-album-cover-rug-4af618eed5,15919772336497,80920077861233,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/8eaa957921032fe30dc7ddb882b941629d6326d65f8e313837cefcd0f5f244ff.jpg?v=1784523667,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,black album cover music rug in studio,,black album cover music rug in studio,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-rug-4af618eed5__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-202,chillgen.com,personalized-album-cover-welcome-mat-26099b1534,15919773221233,80920080646513,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/efb0a61ce10279abf952dff54b7a5bf8de72106a1fa7ad9e47df8443abf90384.jpg?v=1784523688,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,non-slip backing panel for teal music rug,,non-slip backing panel for teal music rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-welcome-mat-26099b1534__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-202,chillgen.com,personalized-album-cover-welcome-mat-26099b1534,15919773221233,80920080679281,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/010261262cafc878dd96f90b1128f342ea585347e7b8912283ab7e6318f0323e.jpg?v=1784523689,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,woman sitting near teal album rug,,woman sitting near teal album rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-welcome-mat-26099b1534__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-202,chillgen.com,personalized-album-cover-welcome-mat-26099b1534,15919773221233,80920080712049,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a22f69348b9b948fd2574dde3621d4642be78b522bde6385360eee8148bcae53.jpg?v=1784523689,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,teal music rug at entryway,,teal music rug at entryway,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-welcome-mat-26099b1534__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-202,chillgen.com,personalized-album-cover-welcome-mat-26099b1534,15919773221233,80920080744817,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/5467627f1f2d5f632994ed91e05364bb4188ead547a510d615cc9b9af151c371.jpg?v=1784523689,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,teal album cover rug beside sofa,,teal album cover rug beside sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-welcome-mat-26099b1534__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-202,chillgen.com,personalized-album-cover-welcome-mat-26099b1534,15919773221233,80920080777585,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/828c77d0315a2a7af7c93c86b4fa5085fdfd46d07feace20d7847d1f10ea316d.jpg?v=1784523688,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,size guide for teal music rug,,size guide for teal music rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-welcome-mat-26099b1534__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-203,chillgen.com,personalized-album-cover-area-rug-648fd8e2ff,15919773909361,80920082219377,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e35ff33a59711e0522ce591d7b37b1e17418d4d160002e3ef4986277092f76cd.jpg?v=1784523701,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,orange album cover music rug in bedroom,,orange album cover music rug in bedroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-area-rug-648fd8e2ff__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-203,chillgen.com,personalized-album-cover-area-rug-648fd8e2ff,15919773909361,80920082252145,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/54be6e115ca6876c8eeb703c765e2afc323ef22ac8c93df415e72d404c13c8b4.jpg?v=1784523701,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,orange music rug in living room,,orange music rug in living room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-area-rug-648fd8e2ff__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-203,chillgen.com,personalized-album-cover-area-rug-648fd8e2ff,15919773909361,80920082284913,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/da03c472fe598987c58ed0ae4e33a1e3903b2795c991a5615304ddb9e4d17d14.jpg?v=1784523701,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,orange microfiber cushion detail,,orange microfiber cushion detail,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-area-rug-648fd8e2ff__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-203,chillgen.com,personalized-album-cover-area-rug-648fd8e2ff,15919773909361,80920082317681,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/cbb6dd4c5c6c477ce71c468c63c721671a23f558501d3e2cf6b254cf502a0257.jpg?v=1784523701,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,non-slip backing panel for orange rug,,non-slip backing panel for orange rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-area-rug-648fd8e2ff__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-203,chillgen.com,personalized-album-cover-area-rug-648fd8e2ff,15919773909361,80920082350449,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a2b865b543ef678f157c10e68afcb2545c6152184a965cdba4d84277b8d019cb.jpg?v=1784523701,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,woman near orange custom song rug,,woman near orange custom song rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-area-rug-648fd8e2ff__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-203,chillgen.com,personalized-album-cover-area-rug-648fd8e2ff,15919773909361,80920082383217,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/87a63bd3dc68024bf61eef764a2cfe3ec3638cef46410e058bad500dae2512fd.jpg?v=1784523700,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,orange music rug at entryway,,orange music rug at entryway,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-area-rug-648fd8e2ff__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-203,chillgen.com,personalized-album-cover-area-rug-648fd8e2ff,15919773909361,80920082415985,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/1e31df729b3f292c25c6af1cfdd109ab91e422f2b7ae23e106de75738216e014.jpg?v=1784523700,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,orange album rug beside sofa,,orange album rug beside sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-area-rug-648fd8e2ff__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-203,chillgen.com,personalized-album-cover-area-rug-648fd8e2ff,15919773909361,80920082448753,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/bab5c78095c057615c77c6e74ec3dff64e11c9f2c1e7122e7176ed29404ec090.jpg?v=1784523700,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,size guide for orange album rug,,size guide for orange album rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-area-rug-648fd8e2ff__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-204,chillgen.com,personalized-album-cover-area-rug-0587b91810-0587b91810,15919774597489,80920085004657,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/982cc350040d26e758c69d33e67fe7b62c7eb88644f9de2830bd01e01cb05218.jpg?v=1784523713,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,beige album cover music rug in bright room,,beige album cover music rug in bright room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-area-rug-0587b91810-0587b91810__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-204,chillgen.com,personalized-album-cover-area-rug-0587b91810-0587b91810,15919774597489,80920085037425,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/cf6a11008281a454e628504bac0089d0fa0affb17605e8da180d767fa0cdd5b7.jpg?v=1784523713,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,beige custom song rug near fireplace,,beige custom song rug near fireplace,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-area-rug-0587b91810-0587b91810__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-204,chillgen.com,personalized-album-cover-area-rug-0587b91810-0587b91810,15919774597489,80920085070193,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b68c5ded9acc2dce77176a222fee9a4aa3884e18cdd0e7c053cea68829fcfc08.jpg?v=1784523713,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,beige microfiber cushion detail,,beige microfiber cushion detail,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-area-rug-0587b91810-0587b91810__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-204,chillgen.com,personalized-album-cover-area-rug-0587b91810-0587b91810,15919774597489,80920085102961,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/5f7f8d582937a5ffcca57b535c4004fa15cba3b939e410ea6a7bfd59fbd1f47d.jpg?v=1784523713,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,non-slip backing panel for beige rug,,non-slip backing panel for beige rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-area-rug-0587b91810-0587b91810__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-204,chillgen.com,personalized-album-cover-area-rug-0587b91810-0587b91810,15919774597489,80920085135729,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0d6d2203ba702e87bd6824300d6017327e1cbdedb98afda1b28b171ff188531a.jpg?v=1784523713,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,woman sitting near beige music rug,,woman sitting near beige music rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-area-rug-0587b91810-0587b91810__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-204,chillgen.com,personalized-album-cover-area-rug-0587b91810-0587b91810,15919774597489,80920085168497,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/cc6fd730c55aadb3239263d1e2b2ccf7413374f300e59bb99029e9c2dd3b74fa.jpg?v=1784523713,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,beige album rug at entryway,,beige album rug at entryway,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-area-rug-0587b91810-0587b91810__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-204,chillgen.com,personalized-album-cover-area-rug-0587b91810-0587b91810,15919774597489,80920085201265,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/d7fb1bf65f13b77e1624b6b718c80df16eaefb6f18c056fb8438c5ae62b474c5.jpg?v=1784523713,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,beige music rug beside sofa,,beige music rug beside sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-area-rug-0587b91810-0587b91810__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-204,chillgen.com,personalized-album-cover-area-rug-0587b91810-0587b91810,15919774597489,80920085234033,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/040595936d280c1906f61be24c2ae1ee240c77977e9a12331be371c14636b12e.jpg?v=1784523713,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,size guide for beige album rug,,size guide for beige album rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-area-rug-0587b91810-0587b91810__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-205,chillgen.com,personalized-album-cover-rug-3bfef01c49-3bfef01c49,15919776301425,80920093360497,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c63421f4b9225915ebb873f758f4468a03c144820e1e890b2f1ab61dae736389.jpg?v=1784523741,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,brown album cover music rug in bright room,,brown album cover music rug in bright room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-rug-3bfef01c49-3bfef01c49__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
