evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B045-441,chillgen.com,personalized-motivational-classroom-rug-for-kids-85959c63a9-85959c63a9,15913319793009,80878307082609,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a518894e132ab7bf81a2a6cc432fccde2f080be3942a90d66a7774e9b7486145_00f010a4-aa22-4585-9302-8839b9a45d25.jpg?v=1784362102,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Brown classroom crossword affirmation rug with Mrs. Taylor name,,Brown classroom crossword affirmation rug with Mrs. Taylor name,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-85959c63a9-85959c63a9__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-443,chillgen.com,personalized-motivational-classroom-rug-for-kids-bb1a76e628,15913320218993,80878310752625,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/47b660ee437c1b3d31c40c185e7fb6cdb4bea62011a3c85ccf7f789fa4c9a738_4e377d7f-1aee-4b00-bd99-d5b0583d0ae3.jpg?v=1784362013,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Black classroom is better because you're in it rug with Mrs. Anne name,,Black classroom is better because you're in it rug with Mrs. Anne name,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-bb1a76e628__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-443,chillgen.com,personalized-motivational-classroom-rug-for-kids-bb1a76e628,15913320218993,80878310785393,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f9c92f18d3e8245f39b82945d1af70f9ea7385b42948b22a714a5a142a86b42d_fd9ed06c-dae5-4992-8440-497f90397ca2.jpg?v=1784362019,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Size chart for personalized growth mindset classroom rug,,Size chart for personalized growth mindset classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-bb1a76e628__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-443,chillgen.com,personalized-motivational-classroom-rug-for-kids-bb1a76e628,15913320218993,80878310818161,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/8f1aa0f75a6cc1c104393cf9f6e63d9016846c5624d83fb31779e4c007ac3813_6384c9f2-fe6f-461c-b6d9-3fbd57383faa.jpg?v=1784362024,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Classroom mockup with chalkboard-style positive message rug,,Classroom mockup with chalkboard-style positive message rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-bb1a76e628__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-443,chillgen.com,personalized-motivational-classroom-rug-for-kids-bb1a76e628,15913320218993,80878310850929,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/38d1dad9294b271f1647a6b5618369a80ae7cfc41cd1c922b311fa0defe4d2e4_b60ddbfe-d851-4350-a6d6-0a67a16d83f3.jpg?v=1784362030,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Children gathered around growth mindset classroom rug,,Children gathered around growth mindset classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-bb1a76e628__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-443,chillgen.com,personalized-motivational-classroom-rug-for-kids-bb1a76e628,15913320218993,80878310883697,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/8b895398793d6b6f321542cca29db0cd4c5fb51cfabbac2143343657a84f2695_90872ba0-b3e4-4935-bb4a-f58aa024677e.jpg?v=1784362035,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Material details graphic for black personalized classroom rug,,Material details graphic for black personalized classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-bb1a76e628__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-443,chillgen.com,personalized-motivational-classroom-rug-for-kids-bb1a76e628,15913320218993,80878310916465,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b66dec166fe0e7d7e4d2a9c0a2a53a470ac3cf852370634fef7e17352dcc9076_194caeb2-a63b-4cc1-aaaf-5783c3c2cb20.jpg?v=1784362041,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Machine washable and vacuum cleaner graphic for growth mindset rug,,Machine washable and vacuum cleaner graphic for growth mindset rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-bb1a76e628__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-443,chillgen.com,personalized-motivational-classroom-rug-for-kids-bb1a76e628,15913320218993,80878310949233,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/33ea4a8daae41ebea965c05c52ad94bcb74e0ca5ac3210b9320e14d117065e47_c238ab2f-f6ab-4520-aac7-6400488cf120.jpg?v=1784362046,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Home reading room mockup with classroom is better rug,,Home reading room mockup with classroom is better rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-bb1a76e628__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-443,chillgen.com,personalized-motivational-classroom-rug-for-kids-bb1a76e628,15913320218993,80878310982001,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/2510841cbafc4c3dd6d72e7d94a579effd47e481dd26af52c639edab8456ef7b_8d073c55-7760-468b-80ff-b41f3a9c5569.jpg?v=1784362052,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Classroom mockup with Mrs. Anne positive message rug,,Classroom mockup with Mrs. Anne positive message rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-bb1a76e628__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-444,chillgen.com,personalized-motivational-classroom-rug-kids-ab8fce16b6-ab8fce16b6,15913320382833,80878312325489,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/1133a09cbce30fe01f2d2cdf713cbb87390666d07603cdc813deac8194b938ae_96a982d7-41d1-4dd6-98bb-19d1c04b9675.jpg?v=1784361968,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,White You Are positive word collage rug in kids room,,White You Are positive word collage rug in kids room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-kids-ab8fce16b6-ab8fce16b6__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-444,chillgen.com,personalized-motivational-classroom-rug-kids-ab8fce16b6-ab8fce16b6,15913320382833,80878312358257,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c36c510c6caf0ce46df9e6628590cf04c9f89ad9462870635c4cfd0c15fd4e74_e49bf10e-8cc6-4171-8850-9ce69ca4cb07.jpg?v=1784361974,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Classroom mockup with white affirmation rug,,Classroom mockup with white affirmation rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-kids-ab8fce16b6-ab8fce16b6__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-444,chillgen.com,personalized-motivational-classroom-rug-kids-ab8fce16b6-ab8fce16b6,15913320382833,80878312391025,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/da3767add4e1c39fc2a14f6ecb871bbef84c87e3e54e11c4c6ec79b36aa2ac28_bf838161-1d4c-440c-9f60-c94408244d90.jpg?v=1784361979,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Child playing on You Are positive affirmation rug,,Child playing on You Are positive affirmation rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-kids-ab8fce16b6-ab8fce16b6__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-444,chillgen.com,personalized-motivational-classroom-rug-kids-ab8fce16b6-ab8fce16b6,15913320382833,80878312423793,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/fe7ac5f3be379843a7b2ef8a7201bf4b1df26c22843c5c5088893e01976921a1_38308bd4-04c1-4f1b-a5d5-5c3847c5de25.jpg?v=1784361985,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Children playing on white word collage rug,,Children playing on white word collage rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-kids-ab8fce16b6-ab8fce16b6__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-444,chillgen.com,personalized-motivational-classroom-rug-kids-ab8fce16b6-ab8fce16b6,15913320382833,80878312456561,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/73e89a6a7a01ae69a733f8eee4e9544e457dc9a6d5f215f626ea7c877edf8bfd_0ac6f0f3-13b5-49d5-b73c-7504a00eadea.jpg?v=1784361991,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Feature graphic showing thickness and bound edges,,Feature graphic showing thickness and bound edges,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-kids-ab8fce16b6-ab8fce16b6__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
