evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B034-331,chillgen.com,personalized-dog-welcome-mat-custom-pet-name-a66d52e9f8,15913472786801,80879492858225,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/cc7c078eed752187d54499f849c45841470c7e16370ba81a0c83591cbf32420a.jpg?v=1784375150,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,Hope You Like Dogs mat held by person,,Hope You Like Dogs mat held by person,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/personalized-dog-welcome-mat-custom-pet-name-a66d52e9f8__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-333,chillgen.com,custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1,15913448440177,80879278129521,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/175a168a7addd55bd1f771ef10626fba3b5d2ea78c1672f944cc4e87eaa0a458.jpg?v=1784375208,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,Halloween porch with pumpkin dog mat,,Halloween porch with pumpkin dog mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-333,chillgen.com,custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1,15913448440177,80879278162289,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/2a1897e4358275154eae2d06f9d4cdbc1190a63924d51e07b52f20c0359ea026.jpg?v=1784375209,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,Haunted Paws mat by white door,,Haunted Paws mat by white door,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-333,chillgen.com,custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1,15913448440177,80879278195057,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/49f1ee30059f2609dd453197ce612695ac32b996e2046be6f8c9b6fc32fae077.jpg?v=1784375213,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,purple Haunted Paws color variant,,purple Haunted Paws color variant,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-333,chillgen.com,custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1,15913448440177,80879278227825,GALLERY_PUBLIC_CDN,9,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/60b137a241c473fc76fe058bcb18f90bb1a367981622a73053773311255c158f.jpg?v=1784375215,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,gray Haunted Paws color variant,,gray Haunted Paws color variant,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1__img_09.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-333,chillgen.com,custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1,15913448440177,80879585329521,GALLERY_PUBLIC_CDN,10,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e392ee41a70273c27f9c1fe919e9a183a0d9a5b879fbedfb26f54985857988c8_10a8cd78-cbdd-4ee0-b97a-6adf89b1f229.jpg?v=1784375219,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,fall porch close view of Haunted Paws mat,,fall porch close view of Haunted Paws mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1__img_10.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-333,chillgen.com,custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1,15913448440177,80879585362289,GALLERY_PUBLIC_CDN,11,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/befc25596a0822ea2d0cd863e672a064423beb20fca3c36cbe780c39ec1af436_1922ef5a-0f32-4e18-94d5-52f123c1c105.jpg?v=1784375220,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,Haunted Paws mat entry view,,Haunted Paws mat entry view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1__img_11.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-333,chillgen.com,custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1,15913448440177,80879585395057,GALLERY_PUBLIC_CDN,12,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/df449f4c8eb2b292121d745193705a04d5a7715d931a2da87f01ac697acfd1f0_ab75c84c-53b7-4543-90eb-466e720b9556.jpg?v=1784375224,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,Haunted Paws mat held repeat,,Haunted Paws mat held repeat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1__img_12.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-333,chillgen.com,custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1,15913448440177,80879585427825,GALLERY_PUBLIC_CDN,13,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0e92bcdd6931f4a1fdff7ea3a7e651696a56eb407f0fbf4f229b86fd32350b92_8b5a321f-3764-4866-9506-b808266451df.jpg?v=1784375226,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,Halloween mat backing detail repeat,,Halloween mat backing detail repeat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1__img_13.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-333,chillgen.com,custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1,15913448440177,80879585460593,GALLERY_PUBLIC_CDN,14,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/47859c03e04f39a77dbaaa1bca548e8d4dacf595fe8b8e6c344d2c9ac902867d_3210fae4-4f26-42a8-89fd-ec115fd797ec.jpg?v=1784375230,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,white door fall porch dog mat,,white door fall porch dog mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1__img_14.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-333,chillgen.com,custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1,15913448440177,80879585493361,GALLERY_PUBLIC_CDN,15,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/175a168a7addd55bd1f771ef10626fba3b5d2ea78c1672f944cc4e87eaa0a458_ccae76d0-862a-4c7c-84bb-8fb76563f734.jpg?v=1784375231,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,pumpkin doorway Halloween dog mat,,pumpkin doorway Halloween dog mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1__img_15.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
