evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B018-171,chillgen.com,personalized-family-couple-doormat-custom-couple-husband-design-04,15969437286769,81245556900209,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/88d1344c07a3646563b8538205e18bda7f185fd609f48da9a0d302fa96d9e407.jpg?v=1786652343,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,funny couple welcome doormat product image,,funny couple welcome doormat product image,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/personalized-family-couple-doormat-custom-couple-husband-design-04__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-172,chillgen.com,personalized-family-couple-doormat-custom-couple-husband-design-02,15969433944433,81245520494961,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6b9cd1cd49d9a5671f7e3921aea91c391fa87daca3c61300349f3d105a8e3976.jpg?v=1786651581,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,multi-room use cases for personalized doormat,,multi-room use cases for personalized doormat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/personalized-family-couple-doormat-custom-couple-husband-design-02__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-172,chillgen.com,personalized-family-couple-doormat-custom-couple-husband-design-02,15969433944433,81245520527729,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/cad83df02fe30fc556e04eca1fffca967e7f644f89591e71f3d17845ec7c5dac.jpg?v=1786651581,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,size guide for funny family doormat,,size guide for funny family doormat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/personalized-family-couple-doormat-custom-couple-husband-design-02__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-172,chillgen.com,personalized-family-couple-doormat-custom-couple-husband-design-02,15969433944433,81245520560497,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0d9d292fbd61e885bb1839ec7e810bd7dc4c641da2d8a8d0033d4ae8b509693f.jpg?v=1786651581,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,non-skid rubber backing detail for entry mat,,non-skid rubber backing detail for entry mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/personalized-family-couple-doormat-custom-couple-husband-design-02__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-173,chillgen.com,personalized-family-couple-doormat-custom-couple-husband-wife-doormat,15969426932081,81245427106161,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ce6cc9643c7a55bb28a9e18bd6dce2c8ecb866d39b7319ccf886d5cd70aa659e.jpg?v=1786650831,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,personalized couple welcome mat product image,,personalized couple welcome mat product image,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/personalized-family-couple-doormat-custom-couple-husband-wife-doormat__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-173,chillgen.com,personalized-family-couple-doormat-custom-couple-husband-wife-doormat,15969426932081,81245427138929,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/fb7972688d5d6a44df9c73e9cdb9db712a431a87228bcb4c6a0ad8efbfc4b2a3.jpg?v=1786650831,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,custom couple welcome mat at indoor entry,,custom couple welcome mat at indoor entry,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/personalized-family-couple-doormat-custom-couple-husband-wife-doormat__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-173,chillgen.com,personalized-family-couple-doormat-custom-couple-husband-wife-doormat,15969426932081,81245427171697,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b2c00d9be79d866d21e711f72ad63d12e476705a41dbf1bf0d3869daef3fc00d.jpg?v=1786650832,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,couple holding personalized welcome doormat,,couple holding personalized welcome doormat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/personalized-family-couple-doormat-custom-couple-husband-wife-doormat__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-173,chillgen.com,personalized-family-couple-doormat-custom-couple-husband-wife-doormat,15969426932081,81245427204465,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ab25fb229637d917329b62571fe5be3cc5a670b6d4a33c35c82c7b66659e1d67.jpg?v=1786650831,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,couple mat at front door with dog,,couple mat at front door with dog,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/personalized-family-couple-doormat-custom-couple-husband-wife-doormat__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-173,chillgen.com,personalized-family-couple-doormat-custom-couple-husband-wife-doormat,15969426932081,81245427237233,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f1dec2e4dd5e88927c12f87db309e3719a080374d97c98a3e426960d5907e379.jpg?v=1786650831,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,size guide for couple welcome doormat,,size guide for couple welcome doormat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/personalized-family-couple-doormat-custom-couple-husband-wife-doormat__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-173,chillgen.com,personalized-family-couple-doormat-custom-couple-husband-wife-doormat,15969426932081,81245427270001,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/209c6316c211337f160f27a7a6657f049be72550a20a11dea8ee8e856a142fab.jpg?v=1786650831,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,multi-room use cases for custom couple mat,,multi-room use cases for custom couple mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/personalized-family-couple-doormat-custom-couple-husband-wife-doormat__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-173,chillgen.com,personalized-family-couple-doormat-custom-couple-husband-wife-doormat,15969426932081,81245427302769,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/8ef96fce28492da7ca1ab2324311e830052e773db3341fcb1ecf752de0a4fece.jpg?v=1786650831,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,non-skid rubber backing detail for welcome mat,,non-skid rubber backing detail for welcome mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/personalized-family-couple-doormat-custom-couple-husband-wife-doormat__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-174,chillgen.com,abc-kids-play-rug-non-slip-classroom-carpet-07621e8f46-07621e8f46,15959874142577,81178182910321,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/76254846fdf4549ca9713da54588a0df5b4a935fffe2be10af58613e8ef1555d_86f01b5b-2fa5-49b9-85c0-9433cf9d5e40.jpg?v=1786166031,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,ABC animal alphabet rug in kids room,,ABC animal alphabet rug in kids room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/abc-kids-play-rug-non-slip-classroom-carpet-07621e8f46-07621e8f46__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-174,chillgen.com,abc-kids-play-rug-non-slip-classroom-carpet-07621e8f46-07621e8f46,15959874142577,81178182943089,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/382c750bf689dca956fa60b22e596ff0486133363686ddb109ca0067256b674f.jpg?v=1786166031,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,size and learning features for ABC rug,,size and learning features for ABC rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/abc-kids-play-rug-non-slip-classroom-carpet-07621e8f46-07621e8f46__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-174,chillgen.com,abc-kids-play-rug-non-slip-classroom-carpet-07621e8f46-07621e8f46,15959874142577,81178182975857,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0e91d2f35acc8b0366f06ad3a68f0e1aee15f9c0369f6d227ed2c938c6f83e58_61b41ff5-f6d1-4a1a-aec1-7b501b3e2378.jpg?v=1786166031,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,easy-clean instructions for kids play rug,,easy-clean instructions for kids play rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/abc-kids-play-rug-non-slip-classroom-carpet-07621e8f46-07621e8f46__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-174,chillgen.com,abc-kids-play-rug-non-slip-classroom-carpet-07621e8f46-07621e8f46,15959874142577,81178183008625,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/62ddfba6bb70122345519f7cc5255d87ae9c826b8736c8ead36ee0994a711d7c_a09d9950-308a-47b7-aa4e-7dca57510b90.jpg?v=1786166031,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,ABC rug for letters shapes and numbers,,ABC rug for letters shapes and numbers,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/abc-kids-play-rug-non-slip-classroom-carpet-07621e8f46-07621e8f46__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-174,chillgen.com,abc-kids-play-rug-non-slip-classroom-carpet-07621e8f46-07621e8f46,15959874142577,81178183041393,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/61d0ae19807503b3d4a22937de72c2fc4baa81fbcbc84c7de278752ab86b4ea9_fb6cdb4b-0a71-4071-b9f0-ccd314769c9b.jpg?v=1786166031,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,parent and child playing on alphabet mat,,parent and child playing on alphabet mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/abc-kids-play-rug-non-slip-classroom-carpet-07621e8f46-07621e8f46__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-174,chillgen.com,abc-kids-play-rug-non-slip-classroom-carpet-07621e8f46-07621e8f46,15959874142577,81178183074161,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9623ea97a80453e888ff2c1cbd7593f3fc53cd6793c2216308c9677735c1de25_c70ed07a-bc1e-46aa-bd65-9ad862bbaeff.jpg?v=1786166031,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,non-slip backing detail for ABC rug,,non-slip backing detail for ABC rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/abc-kids-play-rug-non-slip-classroom-carpet-07621e8f46-07621e8f46__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-174,chillgen.com,abc-kids-play-rug-non-slip-classroom-carpet-07621e8f46-07621e8f46,15959874142577,81178183106929,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c3f6335e00569e2986d6b35b7660cd2c0d0a1d48c46abcb82329fcfb33a1efc6_002aa5c1-8eb7-4811-9fc2-d8c44748065c.jpg?v=1786166031,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,alphabet play rug in bedroom,,alphabet play rug in bedroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/abc-kids-play-rug-non-slip-classroom-carpet-07621e8f46-07621e8f46__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-174,chillgen.com,abc-kids-play-rug-non-slip-classroom-carpet-07621e8f46-07621e8f46,15959874142577,81178183139697,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f96ee765799c3afce54869bde4f710f55e97f540485faf7071b5d564e2e53d7b_dc7ba8de-7731-476d-a2d9-e1619a3cc95c.jpg?v=1786166031,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,ABC animal rug in cozy playroom,,ABC animal rug in cozy playroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/abc-kids-play-rug-non-slip-classroom-carpet-07621e8f46-07621e8f46__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-174,chillgen.com,abc-kids-play-rug-non-slip-classroom-carpet-07621e8f46-07621e8f46,15959874142577,81178183172465,GALLERY_PUBLIC_CDN,9,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7b2dd732293358281ceb98f0efea06b432303c2cf4adf9c1dacfc4ed9115eab1_7f3d8964-826f-4387-823c-2781511b9979.jpg?v=1786166031,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,flat product image of educational kids rug,,flat product image of educational kids rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/abc-kids-play-rug-non-slip-classroom-carpet-07621e8f46-07621e8f46__img_09.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-175,chillgen.com,custom-feelings-chart-classroom-welcome-mat-45af89adb4-45af89adb4,15940516905329,81039584854385,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/750143c757697e82042bf164b8395b90213a622dc9cb88a4ec7c34ec4d89bf3f.jpg?v=1785258574,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,feelings chart classroom rug in living room,,feelings chart classroom rug in living room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/custom-feelings-chart-classroom-welcome-mat-45af89adb4-45af89adb4__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
