evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B009-081,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-04,15976464220529,81307278999921,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6b33044e5699420b7ccbd7040bc3bc0c4871750ab0901888b0a3ce653df34ecb.jpg?v=1787243315,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,parrot beach house family-name rug in coastal room,,parrot beach house family-name rug in coastal room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-04__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-082,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-05,15976463991153,81307277623665,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/576fc85ea0338394615c88c85d2846d3ea385ad0970bdfe7230ef3e88f3fdf61.jpg?v=1787243281,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,custom beach rug with palm trees surfboards and flip-flops,,custom beach rug with palm trees surfboards and flip-flops,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-05__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-082,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-05,15976463991153,81307277656433,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b8216a1566a4089c589277f1381612f9050a42f7f52d66781c9451c53526627f.jpg?v=1787243282,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,tropical surf rug beside sofa and palm decor,,tropical surf rug beside sofa and palm decor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-05__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-082,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-05,15976463991153,81307277689201,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a4988ab66fe581ba259a1212c4e288fc6272a9b8d6e12e148c3093722edec241.jpg?v=1787243281,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,soft microfiber low pile durable edge graphic for surfboard rug,,soft microfiber low pile durable edge graphic for surfboard rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-05__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-082,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-05,15976463991153,81307277721969,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/eadb0aa02ef297dbab5b918ce7412f776a110883786a016a42b6ade529eae9cc.jpg?v=1787243282,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,anti-slip backing comparison for surfboard beach rug,,anti-slip backing comparison for surfboard beach rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-05__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-082,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-05,15976463991153,81307277754737,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a8f6012af356e5971b7e6cee06ff631ed1656ad1e7e4d801740e9a6163dceb72_8f7ff804-5d29-4279-ace3-efe3b507b6fe.jpg?v=1787243281,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,size guide for personalized surfboard beach rug,,size guide for personalized surfboard beach rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-05__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-082,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-05,15976463991153,81307277787505,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b6c27443e88ab111a8155956f089ef7d824e6b716c5ffb64b66db4ca16dd06b3.jpg?v=1787243281,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,surfboard family-name rug with woman and dog lifestyle scene,,surfboard family-name rug with woman and dog lifestyle scene,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-05__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-082,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-05,15976463991153,81307277820273,GALLERY_PUBLIC_CDN,9,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b275750af4d267f241e3588e7c1a3ecf887679149af225dc5c5713b3cb30a391.jpg?v=1787243281,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,custom surfboard beach rug in bedroom reading nook,,custom surfboard beach rug in bedroom reading nook,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-05__img_09.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-083,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-01,15976463925617,81307277001073,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c9173ac8be4d04c4d071c0ef9d1def98d51cee1ae185ae4b039ff28320b8169a.jpg?v=1787243269,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,flip-flop happy place family-name beach rug in living room,,flip-flop happy place family-name beach rug in living room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-01__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-083,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-01,15976463925617,81307277033841,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f7213813139dce6d0063ffb956a73f2225ead8ffbfd4dd9f01b30ed19a86740b.jpg?v=1787243269,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,personalized flip-flop beach rug beside white sofa,,personalized flip-flop beach rug beside white sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-01__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-083,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-01,15976463925617,81307277066609,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e47203e5f6e4de9814d40ed08f523ea4078d55317b619b961f71c62bb5019931.jpg?v=1787243269,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,custom family beach house rug with ocean and flip-flops,,custom family beach house rug with ocean and flip-flops,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-01__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-083,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-01,15976463925617,81307277099377,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c660f42f4109351652b638e8fdc291da5dcde46137d3e71099a2a51a39c4100d.jpg?v=1787243270,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,happy place beach rug near palm decor and sofa,,happy place beach rug near palm decor and sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-01__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-083,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-01,15976463925617,81307277132145,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0fca3a51f7f13a3f31449af586808a4191a7d50db2bfa2e65375f71e37105223.jpg?v=1787243269,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,flip-flop beach rug in bedroom mockup,,flip-flop beach rug in bedroom mockup,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-01__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-083,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-01,15976463925617,81307277164913,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/93a7d207faca28634471bc2c478a924bdb7486c80f433451580d68990de7438d.jpg?v=1787243269,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,family-name beach rug with woman and dog lifestyle scene,,family-name beach rug with woman and dog lifestyle scene,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-01__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-083,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-01,15976463925617,81307277197681,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/24a9b4db17a2185d1df288d6523076684a138e8ed2b78b5687a92d5a410e591f.jpg?v=1787243269,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,soft microfiber low pile durable edge graphic for flip-flop rug,,soft microfiber low pile durable edge graphic for flip-flop rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-01__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-083,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-01,15976463925617,81307277230449,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/12799e03f28c225f1ba95aa41ea4c74eaf036f59ee0ffad636b2e87c3eed25af.jpg?v=1787243269,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,anti-slip backing comparison for flip-flop beach rug,,anti-slip backing comparison for flip-flop beach rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-01__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-083,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-01,15976463925617,81307277263217,GALLERY_PUBLIC_CDN,9,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a8f6012af356e5971b7e6cee06ff631ed1656ad1e7e4d801740e9a6163dceb72_6845336c-0d24-446f-859a-a8f17299412f.jpg?v=1787243269,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,size guide for personalized flip-flop beach rug,,size guide for personalized flip-flop beach rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-01__img_09.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-084,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-08,15976463827313,81307276181873,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/34ca04f4a821c3d1b49991a2f6a1e1f78ce4e39d7ce529ae4aee2faa69ca838a.jpg?v=1787243258,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,flamingo paradise family-name rug in coastal living room,,flamingo paradise family-name rug in coastal living room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-08__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-084,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-08,15976463827313,81307276214641,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/972544f25191bf033d8ecd0b1c364ef9f95cadfc18c766e454ab937999fac284.jpg?v=1787243258,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,personalized flamingo rug with paradise sign and beach background,,personalized flamingo rug with paradise sign and beach background,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-08__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-084,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-08,15976463827313,81307276247409,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7ba288af40c88430fc7e79c008dabc5150955eb0988d5799c1458f35ceb92407.jpg?v=1787243258,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,custom tropical rug beside sofa in bright room,,custom tropical rug beside sofa in bright room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-08__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-084,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-08,15976463827313,81307276280177,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9d23eb34e466a81b974fc6d93ad57ac52a0655f986d0007fed510de0d3286f99.jpg?v=1787243258,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,flamingo beach rug with hibiscus and palm leaves,,flamingo beach rug with hibiscus and palm leaves,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-08__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
