evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B042-411,chillgen.com,custom-composition-notebook-classroom-rug-e78523a9ef-e78523a9ef,15913205399921,80877131694449,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ce9771688dc1b0261f726b166479e9c5837207b37bd8670d4952b1ee68ecc501.jpg?v=1784370011,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Floral composition notebook teacher-name rug shown by sofa,,Floral composition notebook teacher-name rug shown by sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-composition-notebook-classroom-rug-e78523a9ef-e78523a9ef__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-412,chillgen.com,custom-composition-notebook-classroom-rug-kids-3e5de6246c,15913205596529,80877133857137,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/cd63f6eca17925592cc10f11f8834df855e43200b2a0ecd5324126ad83ba2989.jpg?v=1784369998,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Playroom mockup with emotion faces composition rug,,Playroom mockup with emotion faces composition rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-composition-notebook-classroom-rug-kids-3e5de6246c__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-412,chillgen.com,custom-composition-notebook-classroom-rug-kids-3e5de6246c,15913205596529,80877133889905,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a83dd21edc12f3de5ef01efbd56669fdb34212215de64946482a2cf7a04eafdf.jpg?v=1784369999,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Feature graphic showing learning pattern thickness and bound edges,,Feature graphic showing learning pattern thickness and bound edges,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-composition-notebook-classroom-rug-kids-3e5de6246c__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-412,chillgen.com,custom-composition-notebook-classroom-rug-kids-3e5de6246c,15913205596529,80877133922673,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7113c551bad9490ac40b4457e16c212cfca1c6a6aa1d1b1f87bdcd6f2552664c.jpg?v=1784370003,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Isolated emotion faces composition notebook classroom rug,,Isolated emotion faces composition notebook classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-composition-notebook-classroom-rug-kids-3e5de6246c__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-412,chillgen.com,custom-composition-notebook-classroom-rug-kids-3e5de6246c,15913205596529,80877133955441,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f0c263697bc5f459193693d14443521a7c665d56ac24140233400ec4a58ce4b8.jpg?v=1784370004,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Children sitting near large emotion face rug detail,,Children sitting near large emotion face rug detail,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-composition-notebook-classroom-rug-kids-3e5de6246c__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-412,chillgen.com,custom-composition-notebook-classroom-rug-kids-3e5de6246c,15913205596529,80877133988209,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/15d2a529b793211476900cd58b26c00e6fb7206554a3cdce5aa7d44c9efeb336.jpg?v=1784370008,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Teacher and children gathered on emotion faces classroom rug,,Teacher and children gathered on emotion faces classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-composition-notebook-classroom-rug-kids-3e5de6246c__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-413,chillgen.com,custom-mathematics-education-rug-6494449be8-6494449be8,15913229812081,80877406781809,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/79dabf4108991e6892f9b2ffedd4ca9b7c2473a321991a2698df7b3fe4f3abb3.jpg?v=1784369945,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Black welcome to math class rug with Mr. Micheal personalization,,Black welcome to math class rug with Mr. Micheal personalization,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-mathematics-education-rug-6494449be8-6494449be8__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-413,chillgen.com,custom-mathematics-education-rug-6494449be8-6494449be8,15913229812081,80877406814577,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0abb0c90982b03cfebc32720d75292445cd998dd1ee4b30aea0070ee91196c4a.jpg?v=1784369950,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Top view of personalized math class rug on wood floor,,Top view of personalized math class rug on wood floor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-mathematics-education-rug-6494449be8-6494449be8__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-413,chillgen.com,custom-mathematics-education-rug-6494449be8-6494449be8,15913229812081,80877406847345,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/83e0f09ff8f4e898de04302f6f449efaf36be3aca4fa0c7b5b035441d1af3130.jpg?v=1784369951,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Playroom mockup with welcome to math class rug,,Playroom mockup with welcome to math class rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-mathematics-education-rug-6494449be8-6494449be8__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-413,chillgen.com,custom-mathematics-education-rug-6494449be8-6494449be8,15913229812081,80877406880113,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e4e7e8f2b5dff85357e0e13a68f7780fab5563617154d968a76c9309a8d06181.jpg?v=1784369955,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Classroom mockup with personalized black math rug,,Classroom mockup with personalized black math rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-mathematics-education-rug-6494449be8-6494449be8__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-413,chillgen.com,custom-mathematics-education-rug-6494449be8-6494449be8,15913229812081,80877406912881,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7008ba27b3533cce34fcc3103d03f01368d1592a607a3d90b6e906457705aa78.jpg?v=1784369956,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Children sitting near welcome text and chalkboard formula details,,Children sitting near welcome text and chalkboard formula details,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-mathematics-education-rug-6494449be8-6494449be8__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-413,chillgen.com,custom-mathematics-education-rug-6494449be8-6494449be8,15913229812081,80877406945649,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c0f73ff2ed6a7543116c0a3cd54589eda919225d7985913e5422d91d761772c8.jpg?v=1784369961,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Teacher and children gathered on colorful math class rug,,Teacher and children gathered on colorful math class rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-mathematics-education-rug-6494449be8-6494449be8__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-413,chillgen.com,custom-mathematics-education-rug-6494449be8-6494449be8,15913229812081,80877406978417,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c122aac7e7e4544b1cb376a887904d85d7918628f26a11fcc62712a6039073ae.jpg?v=1784369961,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Feature graphic showing thickness bound edges and learning pattern,,Feature graphic showing thickness bound edges and learning pattern,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-mathematics-education-rug-6494449be8-6494449be8__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-414,chillgen.com,custom-mathematics-educational-welcome-mat-627c4013d4,15913230205297,80877414187377,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/4db628bd6db10857c1433e3eaa4ddaf927d1ff958cb90badff1232a23fbf3243.jpg?v=1784369929,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Top view of Math Is All About personalized classroom rug,,Top view of Math Is All About personalized classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-mathematics-educational-welcome-mat-627c4013d4__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-414,chillgen.com,custom-mathematics-educational-welcome-mat-627c4013d4,15913230205297,80877414220145,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/8ac63a2b8bfe506677e827b78e810eebde345e7a613f5d73106c9cd902dbe6d0.jpg?v=1784369930,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Playroom mockup with colorful math concept rug,,Playroom mockup with colorful math concept rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-mathematics-educational-welcome-mat-627c4013d4__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-414,chillgen.com,custom-mathematics-educational-welcome-mat-627c4013d4,15913230205297,80877414252913,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f39243ea5c9ece2e32931e1d644acfc6629ade0a47ec22d8124ce48844a3c375.jpg?v=1784369934,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Isolated math classroom rug with concept bubbles and teacher name,,Isolated math classroom rug with concept bubbles and teacher name,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-mathematics-educational-welcome-mat-627c4013d4__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-414,chillgen.com,custom-mathematics-educational-welcome-mat-627c4013d4,15913230205297,80877414285681,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/03da6373a3adc2b2d0e57d2dc3e40072073c510acef26a0d0e5150433aa8cb83.jpg?v=1784369935,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Feature graphic for math rug learning patterns thickness and bound edges,,Feature graphic for math rug learning patterns thickness and bound edges,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-mathematics-educational-welcome-mat-627c4013d4__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-414,chillgen.com,custom-mathematics-educational-welcome-mat-627c4013d4,15913230205297,80877414318449,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/2b11a9c962d651171017c4049419eb969c2410bb443e2451611567deb0e48866.jpg?v=1784369940,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Teacher and children sitting on math classroom rug,,Teacher and children sitting on math classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-mathematics-educational-welcome-mat-627c4013d4__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-414,chillgen.com,custom-mathematics-educational-welcome-mat-627c4013d4,15913230205297,80877414351217,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/71671f18efe877b4dc98ef4ec7a0ab9c45485482bc6c198aa011bf4c4c22ab0e.jpg?v=1784369940,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Children gathered near math concept classroom rug detail,,Children gathered near math concept classroom rug detail,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-mathematics-educational-welcome-mat-627c4013d4__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-414,chillgen.com,custom-mathematics-educational-welcome-mat-627c4013d4,15913230205297,80877414383985,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/24f129f476060c8423674e49ca62bef3a893cb8e93a0641d44111bbac1b22796.jpg?v=1784369945,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Classroom mockup with Math Is All About rug,,Classroom mockup with Math Is All About rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-mathematics-educational-welcome-mat-627c4013d4__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-415,chillgen.com,custom-mathematics-education-classroom-rug-0639e24f25,15913231352177,80877425557873,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/2bd5a75c6c68133ea12994fbba3beabccc0914f32b147d6c85db687084f1ad5d.jpg?v=1784369871,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Black multiplication chart rug with colorful chalk doodles,,Black multiplication chart rug with colorful chalk doodles,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-mathematics-education-classroom-rug-0639e24f25__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
