evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B046-451,chillgen.com,personalized-patriotic-hunting-doormat-ee02618b87,15912096629105,80870093488497,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9f96dfff9a7e334c4738908c5d12053bde16c2448d55d4f9e6c330c667cd3e3e.jpg?v=1784385675,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,American Hunter black lab patriotic doormat with antlers and flag,,American Hunter black lab patriotic doormat with antlers and flag,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-patriotic-hunting-doormat-ee02618b87__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-451,chillgen.com,personalized-patriotic-hunting-doormat-ee02618b87,15912096629105,80877105185137,GALLERY_PUBLIC_CDN,12,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/399ceebfef9035c9fb481f321569c5b4c8db40a8d6b8a14dd5a396366d069ec8_cde2b876-c6d4-4a74-9fc6-515264b41229.jpg?v=1784385707,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Repeated backing graphic for American Hunter doormat,,Repeated backing graphic for American Hunter doormat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-patriotic-hunting-doormat-ee02618b87__img_12.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-451,chillgen.com,personalized-patriotic-hunting-doormat-ee02618b87,15912096629105,80877105217905,GALLERY_PUBLIC_CDN,13,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7aad58edddf903d1fc255a999f577aefec46be65cee8c76895cb4513e77cdc1d_197e96fb-d23e-42c6-8879-eeed335514c2.jpg?v=1784385710,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Repeated size chart for American Hunter mat,,Repeated size chart for American Hunter mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-patriotic-hunting-doormat-ee02618b87__img_13.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-451,chillgen.com,personalized-patriotic-hunting-doormat-ee02618b87,15912096629105,80877105250673,GALLERY_PUBLIC_CDN,14,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/cc420f1f5bdee636ab916feab8c06062f820de16aaafdee277d9b8554124aea5_1ca0daf6-8bad-4046-a585-aa4caf8236e6.jpg?v=1784385713,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Repeated multi-room placement graphic for hunting mat,,Repeated multi-room placement graphic for hunting mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-patriotic-hunting-doormat-ee02618b87__img_14.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-452,chillgen.com,personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3,15912096956785,80869970608497,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ab53f4ff10c9326c2a4567f89faf6cfe7a3582b8c49810c8afce53728b008c65.jpg?v=1784385620,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Williams family American whitetail hunting doormat with deer and flag,,Williams family American whitetail hunting doormat with deer and flag,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-452,chillgen.com,personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3,15912096956785,80869970674033,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c48a79a811a61a20d90f815c098eb366a77883f05675044425c1f8a1e522f758.jpg?v=1784385626,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Indoor entry mockup with custom family hunting doormat,,Indoor entry mockup with custom family hunting doormat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-452,chillgen.com,personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3,15912096956785,80869970706801,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f6df31fc5072b19cb32782ef6aac1ec788ef011536c46250822d0e610269055f.jpg?v=1784385625,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Entryway mockup with dog and Williams family deer mat,,Entryway mockup with dog and Williams family deer mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-452,chillgen.com,personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3,15912096956785,80869970739569,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/161f6cb1aaa9a9117516a50615e4a7caaa3a6e497e56cbef24973c23df794d10.jpg?v=1784385630,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Couple holding custom deer duck fishing doormat,,Couple holding custom deer duck fishing doormat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-452,chillgen.com,personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3,15912096956785,80869970772337,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7938a8739febd5c78b76ab10ecefe5506cf3ef6ded9598afe2e943f66a09f416.jpg?v=1784385919,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Backing and thickness graphic for family hunting mat,,Backing and thickness graphic for family hunting mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-452,chillgen.com,personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3,15912096956785,80869970805105,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/3f6496932c678a0b55941e6ef1afdada7311e289c8c47507dfd6da2ab713a542.jpg?v=1784385631,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Size chart for family name hunting doormat,,Size chart for family name hunting doormat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-452,chillgen.com,personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3,15912096956785,80869970837873,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/d6f835e8ae51bfcf44acdc6cb9694a00eabfbd988c855620856e5a686c064694.jpg?v=1784385636,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Multi-room placement graphic for deer duck fishing mat,,Multi-room placement graphic for deer duck fishing mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-452,chillgen.com,personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3,15912096956785,80870093160817,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ab53f4ff10c9326c2a4567f89faf6cfe7a3582b8c49810c8afce53728b008c65_c05e0240-e877-4f12-9b1b-a30afea419e1.jpg?v=1784385636,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Repeated isolated Williams family whitetail doormat,,Repeated isolated Williams family whitetail doormat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-452,chillgen.com,personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3,15912096956785,80870093193585,GALLERY_PUBLIC_CDN,9,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/83dcc1c539030abb0ada0f9c1c696194134a7b25ec3e43dc2d0e861841eed890_7a9f2d56-0c4e-40ee-bc51-8ab32bf37098.jpg?v=1784386011,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Small repeated isolated family hunting mat image,,Small repeated isolated family hunting mat image,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3__img_09.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-452,chillgen.com,personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3,15912096956785,80870093226353,GALLERY_PUBLIC_CDN,10,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c48a79a811a61a20d90f815c098eb366a77883f05675044425c1f8a1e522f758_b95c80ad-ffa8-4652-a0cd-c5822b9d0c59.jpg?v=1784385642,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Repeated indoor entry mockup with family hunting mat,,Repeated indoor entry mockup with family hunting mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3__img_10.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-452,chillgen.com,personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3,15912096956785,80870093259121,GALLERY_PUBLIC_CDN,11,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f6df31fc5072b19cb32782ef6aac1ec788ef011536c46250822d0e610269055f_deab675d-d87d-4d9d-a5b9-92ae5aec2d30.jpg?v=1784385642,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Repeated dog entryway mockup with deer mat,,Repeated dog entryway mockup with deer mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3__img_11.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-452,chillgen.com,personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3,15912096956785,80870093291889,GALLERY_PUBLIC_CDN,12,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/161f6cb1aaa9a9117516a50615e4a7caaa3a6e497e56cbef24973c23df794d10_faad6f4f-3757-453f-81e6-9727699ec67b.jpg?v=1784385647,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Repeated couple holding custom family hunting mat,,Repeated couple holding custom family hunting mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3__img_12.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-452,chillgen.com,personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3,15912096956785,80870093324657,GALLERY_PUBLIC_CDN,13,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7938a8739febd5c78b76ab10ecefe5506cf3ef6ded9598afe2e943f66a09f416_ef9fcc8a-8782-4556-8ddc-8cbaea9586de.jpg?v=1784385647,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Repeated backing and absorbency graphic for hunting mat,,Repeated backing and absorbency graphic for hunting mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3__img_13.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-452,chillgen.com,personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3,15912096956785,80870093357425,GALLERY_PUBLIC_CDN,14,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/3f6496932c678a0b55941e6ef1afdada7311e289c8c47507dfd6da2ab713a542_29fc8d03-a29e-4eb4-8066-37f859409fb7.jpg?v=1784385652,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Repeated size chart for family name doormat,,Repeated size chart for family name doormat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3__img_14.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-452,chillgen.com,personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3,15912096956785,80870093390193,GALLERY_PUBLIC_CDN,15,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/d6f835e8ae51bfcf44acdc6cb9694a00eabfbd988c855620856e5a686c064694_4b776cba-d648-4a7f-8018-ff468badae0d.jpg?v=1784385653,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Repeated multi-room placement graphic for hunting doormat,,Repeated multi-room placement graphic for hunting doormat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3__img_15.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-452,chillgen.com,personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3,15912096956785,80877103087985,GALLERY_PUBLIC_CDN,16,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ab53f4ff10c9326c2a4567f89faf6cfe7a3582b8c49810c8afce53728b008c65_4a894dee-fdad-40ec-b6d3-4a2065854367.jpg?v=1784385658,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Repeated Williams family whitetail doormat,,Repeated Williams family whitetail doormat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-hunting-welcome-mat-with-custom-family-name-bcc03694c3-bcc03694c3__img_16.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
